room_type,neighbourhood_group,minimum_nights,amenities_count,latitude,longitude,calculated_host_listings_count,availability_365,reviews_log,nights_log,predicted_price
home/apt,Brooklyn,1,23,40.72208,-73.95471,1,36,1.791759469,0.693147181,381.17294
home/apt,Brooklyn,1,24,40.72208,-73.95471,1,36,1.791759469,0.693147181,381.17294
home/apt,Brooklyn,1,25,40.72208,-73.95471,1,36,1.791759469,0.693147181,381.17294
home/apt,Brooklyn,1,26,40.72208,-73.95471,1,36,1.791759469,0.693147181,381.17294
home/apt,Brooklyn,1,27,40.72208,-73.95471,1,36,1.791759469,0.693147181,381.17294
home/apt,Brooklyn,1,28,40.72208,-73.95471,1,36,1.791759469,0.693147181,381.17294
home/apt,Brooklyn,1,29,40.72208,-73.95471,1,36,1.791759469,0.693147181,381.17294
home/apt,Brooklyn,1,30,40.72208,-73.95471,1,36,1.791759469,0.693147181,381.17294
home/apt,Brooklyn,2,0,40.72208,-73.95471,1,36,1.791759469,1.098612289,131.61235
home/apt,Brooklyn,2,1,40.72208,-73.95471,1,36,1.791759469,1.098612289,131.61235
home/apt,Brooklyn,2,2,40.72208,-73.95471,1,36,1.791759469,1.098612289,150.06587
home/apt,Brooklyn,2,3,40.72208,-73.95471,1,36,1.791759469,1.098612289,194.08719
home/apt,Brooklyn,2,4,40.72208,-73.95471,1,36,1.791759469,1.098612289,221.81122
home/apt,Brooklyn,2,5,40.72208,-73.95471,1,36,1.791759469,1.098612289,226.01724
home/apt,Brooklyn,2,6,40.72208,-73.95471,1,36,1.791759469,1.098612289,377.42178
home/apt,Brooklyn,2,7,40.72208,-73.95471,1,36,1.791759469,1.098612289,394.44055
home/apt,Brooklyn,2,8,40.72208,-73.95471,1,36,1.791759469,1.098612289,395.0888
home/apt,Brooklyn,2,9,40.72208,-73.95471,1,36,1.791759469,1.098612289,395.0888
home/apt,Brooklyn,2,10,40.72208,-73.95471,1,36,1.791759469,1.098612289,395.0888
home/apt,Brooklyn,2,11,40.72208,-73.95471,1,36,1.791759469,1.098612289,395.0888
home/apt,Brooklyn,2,12,40.72208,-73.95471,1,36,1.791759469,1.098612289,395.0888
home/apt,Brooklyn,2,13,40.72208,-73.95471,1,36,1.791759469,1.098612289,395.0888
home/apt,Brooklyn,2,14,40.72208,-73.95471,1,36,1.791759469,1.098612289,395.0888
home/apt,Brooklyn,2,15,40.72208,-73.95471,1,36,1.791759469,1.098612289,395.0888
home/apt,Brooklyn,2,16,40.72208,-73.95471,1,36,1.791759469,1.098612289,395.0888
home/apt,Brooklyn,2,17,40.72208,-73.95471,1,36,1.791759469,1.098612289,395.0888
home/apt,Brooklyn,2,18,40.72208,-73.95471,1,36,1.791759469,1.098612289,395.0888
home/apt,Brooklyn,2,19,40.72208,-73.95471,1,36,1.791759469,1.098612289,395.0888
home/apt,Brooklyn,2,20,40.72208,-73.95471,1,36,1.791759469,1.098612289,395.0888
home/apt,Brooklyn,2,21,40.72208,-73.95471,1,36,1.791759469,1.098612289,395.0888
home/apt,Brooklyn,2,22,40.72208,-73.95471,1,36,1.791759469,1.098612289,395.0888
home/apt,Brooklyn,2,23,40.72208,-73.95471,1,36,1.791759469,1.098612289,395.0888
home/apt,Brooklyn,2,24,40.72208,-73.95471,1,36,1.791759469,1.098612289,395.0888
home/apt,Brooklyn,2,25,40.72208,-73.95471,1,36,1.791759469,1.098612289,395.0888
home/apt,Brooklyn,2,26,40.72208,-73.95471,1,36,1.791759469,1.098612289,395.0888
home/apt,Brooklyn,2,27,40.72208,-73.95471,1,36,1.791759469,1.098612289,395.0888
home/apt,Brooklyn,2,28,40.72208,-73.95471,1,36,1.791759469,1.098612289,395.0888
home/apt,Brooklyn,2,29,40.72208,-73.95471,1,36,1.791759469,1.098612289,395.0888
home/apt,Brooklyn,2,30,40.72208,-73.95471,1,36,1.791759469,1.098612289,395.0888
home/apt,Brooklyn,3,0,40.72208,-73.95471,1,36,1.791759469,1.386294361,131.24023
home/apt,Brooklyn,3,1,40.72208,-73.95471,1,36,1.791759469,1.386294361,131.24023
home/apt,Brooklyn,3,2,40.72208,-73.95471,1,36,1.791759469,1.386294361,149.1382
